Anime_id,Title,Genre,Synopsis,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,Link,is_hentai
20707,"""0""",['Music'],This music video tells how a shy girl with a secret love and curiosity about what surrounds her works.,Music,['Sony Music Entertainment'],['Minakata Laboratory'],4.83,1131.0,7345.0,2013.0,1.0,Unknown,"Oct 23, 2013",https://myanimelist.net/anime/20707/0,False
7669,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi","['Comedy', 'Fantasy', 'School']","Short episode bundled with the limited edition release of  ""Bungaku Shoujo"" Minarai no, Shoushin .",OVA,"['Lantis', 'Pony Canyon', 'Enterbrain', 'Kadokawa Contents Gate', 'T.O Entertainment']",['Production I.G'],7.01,8673.0,3466.0,15962.0,1.0,Light novel,"Dec 26, 2009",https://myanimelist.net/anime/7669/Bungaku_Shoujo_Kyou_no_Oyatsu__Hatsukoi,False
8481,"""Bungaku Shoujo"" Memoire","['Drama', 'Romance', 'School']","Episodes which depict the background stories of  ""Bungaku Shoujo"" Movie 's main heroines.",OVA,"['Lantis', 'Pony Canyon', 'Enterbrain', 'Kadokawa Contents Gate', 'T.O Entertainment']",['Production I.G'],7.46,10364.0,2943.0,21292.0,3.0,Light novel,"Jun 25, 2010 to Dec 24, 2010",https://myanimelist.net/anime/8481/Bungaku_Shoujo_Memoire,False
6408,"""Bungaku Shoujo"" Movie","['Mystery', 'Drama', 'Romance', 'School']","The protagonist of the story, Konoha Inoue, is a seemingly normal senior high 2nd year student. His high school life, other than a hinted incident 2 years ago, can be summed up as normal- if one can dismiss the secret fact that he used to be a female bestselling romance author. Due to that incident, however, he has now vowed never to write again. 
 
This continued on until he was forced to join the literary club by the literary club president, the 3rd year female student Amano Tooko, a beautiful girl who has a taste for eating literary works. Now he has been tasked with writing her snack every day after school. 
 
(Source: To Say Nothing of the Dog) ",Movie,"['Lantis', 'Pony Canyon', 'Enterbrain', 'Kadokawa Contents Gate', 'T.O Entertainment']",['Production I.G'],7.54,21051.0,1799.0,48581.0,1.0,Light novel,"May 1, 2010",https://myanimelist.net/anime/6408/Bungaku_Shoujo_Movie,False
6076,"""Eiji""","['Comedy', 'Drama', 'Sports']","Legendary boxer Keijiro Akagi's second son, Eiji, is a high school dropout and the world's worst rock guitarist. Though his father and elder brother are both boxers, he hates the sport but suddenly takes an interest in it when he meets the local champion's little sister.  
 
(Source: ANN) ",OVA,"['Animate Film', 'Shueisha']",,5.96,436.0,8535.0,1144.0,1.0,Manga,"Aug 25, 1990",https://myanimelist.net/anime/6076/Eiji,False
33363,"""Eiyuu"" Kaitai","['Comedy', 'Drama']","Uro Yamada works as part of the ""Hero Retirement and Return to Everyday Life Assistance Agency,"" which takes heroes from another world back to Earth and helps them reintegrate into everyday life. 
 
(Source: ANN)",OVA,,['Zexcs'],6.13,545.0,7072.0,1799.0,1.0,Light novel,"Nov 23, 2016",https://myanimelist.net/anime/33363/Eiyuu_Kaitai,False
2928,.hack//G.U. Returner,"['Magic', 'Adventure', 'Fantasy', 'Game', 'Sci-Fi', 'Drama']","The characters from previous .hack//G.U. Games and .hack//Roots receive an email from Ovan. He is requesting them to go to Hidden Forbidden Festival where is set up a mysterious summer festival. There they find an AIDA Chim Chim who wishes to peacefully co-exist with the other players of The World. It then transforms into the word ""Returner"", so they assume it to mean that Ovan will return to The World. 
 
(Source: ANN)",OVA,"['Bandai Visual', 'CyberConnect2']",['Bee Train'],6.85,7468.0,3321.0,17154.0,1.0,Game,"Jan 18, 2007",https://myanimelist.net/anime/2928/hack__GU_Returner,False
3269,.hack//G.U. Trilogy,,"Based on the CyberConnect2 HIT GAME, now will be released in a CG Movie! 
 
The Movie will be placed in the storyline of each .hack//G.U. games trilogy. The story follows Haseo, a player in the online MMORPG called The World:R2 at first depicted as a PKK (Player Killer Killer) known as the ""Terror of Death"", a former member of the disbanded Twilight Brigade guild. Haseo encounters Azure Kite (believing him to be Tri-Edge and blaming him for what happened to Shino) but is hopelessly outmatched. Azure Kite easily defeats Haseo and Data Drains him, reducing his level from 133 to 1 and leaving him without any items, weapons, or member addresses. He is left with a mystery on his hands as to the nature of the Data Drain and why Azure Kite is in possession of such a skill. 
 
Eventually Haseo gains the ""Avatar"" of Skeith. Acquiring the ability to call Skeith and wield his abilities, such as Data Drain. With Skeith as his strength, Haseo begins the quest for a way to save Shino. 
 
He is seen seeking out a PK (Player Killer) known as Tri-Edge, whose victims supposedly are unable to return to The World after he PKs them. Haseo's friend, Shino, was attacked six months prior to the events of the game by Tri-Edge, and the player herself, Shino Nanao, was left in a coma. 
 
(Source: AniDB)",Movie,,,7.32,,2693.0,27574.0,,,"Mar 25, 2008",https://myanimelist.net/anime/3269/hack__GU_Trilogy,False
454,.hack//Gift,"['Comedy', 'Fantasy', 'Game']","As an expression of gratitude for the heroes of both the "".hack//Sign"" and the "".hack"" game series, Helba has prepared a special event for all the characters to find the newly established ""Twilight Hot Springs."" The characters can get their well deserved rest and relaxation by having a soak in the wonderful hot springs, but there is only one problem—the hot springs are hidden and there have been mysterious player murders. With the only clue being the word “GIFT,"" the race has begun to find the culprit and the location of the hot springs. 
 
[Written by MAL Rewrite]",OVA,['CyberConnect2'],['Bee Train'],6.3,8182.0,3356.0,16957.0,1.0,Original,"Nov 16, 2003",https://myanimelist.net/anime/454/hack__Gift,False
1143,.hack//Intermezzo,"['Adventure', 'Fantasy', 'Game', 'Magic', 'Mystery', 'Sci-Fi']","A virtual multiplayer online role-playing game exists, known as ""The World."" In ""The World,"" there is an event held in the Dungeon of Nankoflank that Mimiru, a character in the game, undertakes with Bear, another character of the game. Mimiru confesses to Bear that she's not doing the event for the treasures or experiences, but for the memories and experiences of when she had first started playing. The two later meet a certain character named Mimika and together, the three proceed through quests and events as Mimiru learns the meaning of the game. 
 
[Written by MAL Rewrite]",Special,,['Bee Train'],6.65,9173.0,3204.0,18469.0,1.0,Original,"Mar 28, 2003",https://myanimelist.net/anime/1143/hack__Intermezzo,False
299,.hack//Liminality,"['Game', 'Mystery', 'Sci-Fi']","While playing the newly released MMORPG ""The World,"" Minase Mai and Tomonari Kasumi collapsed in the real world and were sent to the hospital after hearing a mysterious sound. Only Mai had recovered while her friend Kasumi had slipped into a mysterious coma. Mai is later approached by the creator of ""The World,"" Tokuoka Junichiro, who unveils to her that, just like her friend, six other players across the country had also collapsed while playing ""The World"" and are now in mysterious comas. What exactly is ""The World,"" what is this mysterious sound Mai keeps on hearing, and why are people slipping into comas from this game? Minase, Junichiro and their acquaintances set off to get to the bottom of this problem before any further harm happens. 
 
[Written by MAL Rewrite]",OVA,"['Bandai Visual', 'Bandai', 'CyberConnect2']",['Bee Train'],6.69,13644.0,2630.0,26821.0,4.0,Original,"Jun 20, 2002 to Apr 10, 2003",https://myanimelist.net/anime/299/hack__Liminality,False
9332,.hack//Quantum,"['Action', 'Adventure', 'Fantasy', 'Game', 'Sci-Fi']","Tobias, Mary, and Sakuya challenge the impregnable ""The One Sin"", but they lose their way in the maze and unintentionally trap other guild members. A mysterious cat is watching their blunder. Is it another player character or NPC? ",OVA,"['Bandai Visual', 'flying DOG', 'Showgate', 'BIGLOBE']",['Kinema Citrus'],7.29,15660.0,2387.0,30773.0,3.0,Original,"Jan 28, 2011 to Apr 7, 2011",https://myanimelist.net/anime/9332/hack__Quantum,False
873,.hack//Roots,,"After the termination of the incredibly popular virtual reality MMORPG ""The World,"" a new version of the game—The World R:2—is brought online. On his first day in the game, newcomer Haseo thinks he has made some friends to quest with. However, as if mocking his sentiments, they kill his character just for fun. Luckily, he is saved by a mysterious, one-armed player named Ovan who offers to show him around The World.  
 
Alongside Ovan and his cleric friend Shino, Haseo enjoys a wonderful first year in the game. But this peaceful life is shattered when Shino's character is killed by a familiar figure notoriously known as Tri-Edge, whose victims have all fallen into comas in the real world. In a fit of rage, Haseo vows to find the elusive Tri-Edge and kill him. 
 
Taking place during Haseo's first year in The World,  .hack//Roots  explores the friendships Haseo built in the game before Tri-Edge ripped them away. 
 
[Written by MAL Rewrite]",TV,,,7.06,,1621.0,62437.0,,,"Apr 6, 2006 to Sep 28, 2006",https://myanimelist.net/anime/873/hack__Roots,False
48,.hack//Sign,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']","A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way. 
 
As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand. 
 
[Written by MAL Rewrite]",TV,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']",['Bee Train'],7.09,61438.0,771.0,129203.0,26.0,Original,"Apr 4, 2002 to Sep 26, 2002",https://myanimelist.net/anime/48/hack__Sign,False
298,.hack//Tasogare no Udewa Densetsu,"['Adventure', 'Comedy', 'Fantasy', 'Game', 'Sci-Fi', 'Shounen']","Winning the legendary characters ""Kite"" and ""Black Rose"" from an event held by the creators of the MMORPG ""The World,"" Shugo and his twin sister Rena steps into ""The World."" Together they completed events and quests, along with their new friends Ouka, Mirelle, Hotaru, and Sanjuro. Soon after, mysterious monsters appeared, and death by these monsters caused players to slip into a coma in the real world. Only Shugo and Rena can solve this problem, but why are they being targeted, and what secrets is the game hiding? 
 
[Written by MAL Rewrite]",TV,"['Bandai Visual', 'Yomiko Advertising']",['Bee Train'],6.7,28005.0,1728.0,53010.0,12.0,Manga,"Jan 9, 2003 to Mar 27, 2003",https://myanimelist.net/anime/298/hack__Tasogare_no_Udewa_Densetsu,False
