title,genres,rating,scored_by,members,weighted_avg,norm_weighted_avg,norm_members,score
Death Note,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller', 'Shounen']",8.67,1006242,1451708,8.628309632820859,0.8790089186654204,1.0,0.9395044593327102
Fullmetal Alchemist Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",9.25,730784,1194518,9.17403623358134,0.9999999999999998,0.8227140284013243,0.9113570142006621
Shingeki no Kyojin,"['Action', 'Military', 'Mystery', 'SuperPower', 'Drama', 'Fantasy', 'Shounen']",8.49,936784,1340641,8.449950239192031,0.8394654991743058,0.9234393988586255,0.8814524490164657
Steins;Gate,"['Thriller', 'SciFi']",9.14,561405,1005781,9.046752139173243,0.971780301349306,0.6926140150974662,0.8321971582233861
One Punch Man,"['Action', 'SciFi', 'Comedy', 'Parody', 'SuperPower', 'Supernatural', 'Seinen']",8.73,687965,1015163,8.667602757348892,0.8877204559425773,0.6990812066116727,0.793400831277125
Code Geass Hangyaku no Lelouch,"['Action', 'Military', 'SciFi', 'SuperPower', 'Drama', 'Mecha', 'School']",8.79,625466,983674,8.719313127336303,0.8991849760379318,0.6773752384182333,0.7882801072280825
Sword Art Online,"['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']",7.64,913806,1297309,7.62147469462869,0.6557871667340525,0.8935698249198494,0.7746784958269509
Angel Beats,"['Action', 'Comedy', 'Drama', 'School', 'Supernatural']",8.31,640177,1007952,8.258814422292609,0.797089464844656,0.6941105267983128,0.7455999958214844
No Game No Life,"['Game', 'Adventure', 'Comedy', 'Supernatural', 'Ecchi', 'Fantasy']",8.41,620456,966110,8.353398946744697,0.8180594594812156,0.665268038273752,0.7416637488774838
Kimi no Na wa.,"['Supernatural', 'Drama', 'Romance', 'School']",9.19,467437,724490,9.07642887190236,0.978359822996903,0.49871476459409103,0.738537293795497
Code Geass Hangyaku no Lelouch R2,"['Action', 'Military', 'SciFi', 'SuperPower', 'Drama', 'Mecha']",8.95,541989,788845,8.861888352867991,0.9307948163582713,0.5430758933402816,0.7369353548492765
Hunter x Hunter 2011,"['Action', 'Adventure', 'SuperPower', 'Shounen']",9.11,400879,716409,8.983343405899582,0.957722179216089,0.4931443771898806,0.7254332782029849
Toradora,"['SliceofLife', 'Comedy', 'Romance', 'School']",8.39,556177,907550,8.327992652014247,0.8124267212788654,0.6249015135378818,0.7186641174083737
